geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Columbia,driving,NA,South Carolina,United States,2020-08-14,171.72
city,Columbia,driving,NA,South Carolina,United States,2020-08-15,167.28
city,Columbia,driving,NA,South Carolina,United States,2020-08-16,141.25
city,Columbia,driving,NA,South Carolina,United States,2020-08-17,161.44
city,Columbia,driving,NA,South Carolina,United States,2020-08-18,158.24
city,Columbia,driving,NA,South Carolina,United States,2020-08-19,155.2
city,Columbia,driving,NA,South Carolina,United States,2020-08-20,169.23
city,Columbia,driving,NA,South Carolina,United States,2020-08-21,178.11
city,Columbia,driving,NA,South Carolina,United States,2020-08-22,166.71
city,Columbia,driving,NA,South Carolina,United States,2020-08-23,125.99
city,Columbia,driving,NA,South Carolina,United States,2020-08-24,142.19
city,Columbia,driving,NA,South Carolina,United States,2020-08-25,144.22
city,Columbia,driving,NA,South Carolina,United States,2020-08-26,141.82
city,Columbia,driving,NA,South Carolina,United States,2020-08-27,147.85
city,Columbia,driving,NA,South Carolina,United States,2020-08-28,168.99
city,Columbia,driving,NA,South Carolina,United States,2020-08-29,154.38
city,Columbia,driving,NA,South Carolina,United States,2020-08-30,116.94
city,Columbia,driving,NA,South Carolina,United States,2020-08-31,133.15
city,Columbia,driving,NA,South Carolina,United States,2020-09-01,138.07
city,Columbia,driving,NA,South Carolina,United States,2020-09-02,139.74
city,Columbia,driving,NA,South Carolina,United States,2020-09-03,152.86
city,Columbia,driving,NA,South Carolina,United States,2020-09-04,180.88
city,Columbia,driving,NA,South Carolina,United States,2020-09-05,153.72
city,Columbia,driving,NA,South Carolina,United States,2020-09-06,118.85
city,Columbia,driving,NA,South Carolina,United States,2020-09-07,122.1
city,Columbia,driving,NA,South Carolina,United States,2020-09-08,136.09
city,Columbia,driving,NA,South Carolina,United States,2020-09-09,133.83
city,Columbia,driving,NA,South Carolina,United States,2020-09-10,144.81
city,Columbia,driving,NA,South Carolina,United States,2020-09-11,166.83
city,Columbia,driving,NA,South Carolina,United States,2020-09-12,162.54
city,Columbia,driving,NA,South Carolina,United States,2020-09-13,117.23
city,Columbia,driving,NA,South Carolina,United States,2020-09-14,134.94
city,Columbia,driving,NA,South Carolina,United States,2020-09-15,136.55
city,Columbia,driving,NA,South Carolina,United States,2020-09-16,134.46
city,Columbia,driving,NA,South Carolina,United States,2020-09-17,127.73
city,Columbia,driving,NA,South Carolina,United States,2020-09-18,162.83
city,Columbia,driving,NA,South Carolina,United States,2020-09-19,158.04
