geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24
county,Dillon County,driving,NA,South Carolina,United States,100,103.7,106.54,121.07,169.24,135.74,118.13,148.51,98.89,102.8,111.25,137.34,128.79,102.7,103.36,100.69,103.77,120.55,138.55,131.52,110.9,131.94,101.21,110.48,109.9,132.18,122.28,122.63,112.39,105.71,112.8,147.3,196.12,168.51,140.48,136.54,110.9,108.82,126.78,169,167.92,137.51,115.88,105.43,117.37,138.62,185.88,181.8,161.7,131.31,112.98,130.28,136.33,204.01,200.8,179.17,147.96,137.51,146.16,167.44,279,213.7,187.79,163.22,163.84,144.91,138.51,158.1,144.39,105.88,95.5,92.39,88.55,91.38,109.34,108.55,83.84,84.53,86.89,76.78,84.22,96.33,89.62,63.25,75.29,75.85,86.75,81.76,93.84,88.34,59.38,80.66,85.85,86.09,93.56,108.96,103.29,71.94,90.8,94.81,96.75,89.31,117.92,110.21,95.95,96.19,115.36,104.15,116.16,151.21,138.86,111.56,117.68,112.39,117.99,141.25,166.68,156.82,125.47,NA,NA,148.82,149.52,186.47,207.58,175.4,154.84,148.79,154.26,196.37,251.56,220.42,183.6,199.76,188.89,181.73,174.12,211.14,234.39,204.53,175.95,157.02,165.54,202.94,235.99,252.98,223.04,182.49,168.34,184.22,199.38,254.91,285.33,223.88,187.58,165.92,181.73,202.04,281.59,298.1,232.46,202.87,191.35,190.35,212.46,283.91,324.39,242.15,204.01,203.25,237.82,301.73,430.14,305.85,252.04,215.19,179.17,173.56,205.5,251.28,308.96,213.08,178.82,173.11,184.64,202.94,232.8,269.07,205.54,180.83,167.72,181.21,183.74,231.07,271,208.3,189.48,178.86,165.26,192.98,235.92,276.61,209.41,154.6,159.69,170.1,184.53,235.78,265.67,222.08,182.98,176.33,178.44,187.82,238.34,372.08,207.16,190,165.09,171.73,183.04,232.49,229.58,191.7,154.5,154.08,153.53,268.2,211.94,202.8,187.09,149.79,154.36,157.47,212.01,276.44,294.29,183.7,249.41,166.61,148.82,163.36,203.84,198.17,181.25,156.75,146.33,144.6,156.47,200.87,202.7,181.59,160.03,142.6,148.51,181.59
county,Dorchester County,driving,NA,South Carolina,United States,100,101.57,105.37,121.67,131.2,117.02,82.48,105.1,103.16,106.63,106.86,118.82,115.83,79.43,99.36,100.72,104.13,107.43,129.25,114.65,83.8,101.8,102.25,105.31,111.48,125.42,113.05,90.25,105.2,112.86,111.1,125.02,146.7,127.15,95.32,112.88,108.08,105.14,107.34,133.42,133.97,92.14,103.17,109.78,113.06,121.02,151.87,143.92,101.07,119.33,112.73,109.6,115.38,146.62,140.79,103.46,123.46,119.51,118.4,124.58,147.49,138.93,113.1,107.22,99.63,96.54,98.28,107.7,95.46,62.41,75.98,73.84,75.63,76.3,87.35,80.58,59.2,75.75,71.61,76.5,77.87,86.45,73.7,56.55,76.63,71.71,70.39,77.36,85.27,75.6,46.94,73.78,85.32,81.24,89.73,99.35,89.74,60.77,85.93,89.82,89.43,84.89,102.94,100.48,74.1,97.79,96.42,101.95,100.3,121.78,108.61,86.81,106.03,109.8,106.7,118.11,131.92,125.48,98.35,NA,NA,122.7,130.16,152.37,142.76,109.84,131.02,131.21,123.96,141.11,168.56,155.39,115.31,118.56,138.44,131.4,144.47,162.06,155.45,113.06,132.46,135,145.99,147.7,172.3,169.73,125.48,145.47,147.82,153.75,147.48,167.56,176.83,124.96,145.57,148.75,147.34,160.13,183.71,191.54,131.29,153.41,152.05,154.61,160.87,195.47,184.24,139.8,153.54,149.94,159.85,176.82,170.75,135.37,139.92,152.38,146.03,148.65,151.24,173.21,172.86,130.74,145.65,148.74,151.15,154.01,177.58,179.2,133.42,146.36,147.08,150.31,159.38,185.75,180.58,134.79,148.8,146.29,150.71,157.47,174.43,177.32,127.26,115.57,145.15,147.15,157.51,178.5,173.21,133.01,146.63,149.24,156.82,157.12,179.59,167.91,131.27,152.75,144.97,152.35,154.37,173.24,159.47,122.08,135.49,140.03,145.77,150.49,178.32,156.5,118.47,147.19,149.97,150.71,165.28,196.5,166.71,126.3,143.63,143.24,140.82,149.83,175.59,162.78,120.42,141.03,145.62,137.49,146.7,173.44,163.93,122.27,140.86,139.38,140.75,150.06
county,Edgefield County,driving,NA,South Carolina,United States,100,106.25,115.55,111.73,148.12,151.31,87.51,111.85,111.41,119.12,128.55,126.83,148.25,94.65,93.5,106.25,99.75,121.54,123.65,129.64,92.8,105.86,127.53,118.04,92.67,133.33,126.83,103.12,109.75,108.35,92.8,120.65,146.91,147.36,85.34,116.38,102.17,97.58,109.24,137.79,181.52,101.4,116.19,112.75,124.47,135.69,163.35,168.45,100.64,109.05,107.14,117.08,111.15,155.45,159.53,109.18,123.39,138.24,127.66,130.53,159.34,170.36,85.98,104.65,105.1,106.63,110.26,129,105.86,65.52,95.98,82.22,106.25,107.84,120.33,115.68,80.37,108.29,89.55,88.15,100.25,100.83,94.9,69.41,94.26,92.54,98.85,101.53,111.03,96.05,51.18,95.79,104.59,99.11,112.68,135.95,105.93,66.22,99.36,123.01,129.64,99.11,131.68,123.2,84,108.41,126.58,119.06,122.63,135.95,132.12,105.99,136.01,129.32,131.68,136.97,139.96,144.04,104.27,NA,NA,145,157.87,181.71,159.02,124.09,134.35,150.48,126.77,156.79,187.06,164.56,130.85,122.31,157.36,154.17,179.29,180.88,166.03,137.16,168.2,165.33,158.38,164.75,203.7,183.88,136.39,157.87,160.29,157.3,165.9,182.28,193.05,149.08,170.24,183.24,171.77,179.86,203.31,205.86,135.69,155.39,176.29,163.61,182.15,195.28,194.65,149.71,178.39,157.43,176.55,198.09,194.01,152.45,142.26,157.17,172.79,173.17,201.47,218.42,193.75,143.72,169.85,182.41,182.22,194.9,203.12,201.59,138.5,177.5,174.25,177.69,189.04,196.94,183.17,138.75,178.14,179.73,171.32,193.37,206.44,205.1,144.42,160.87,170.62,180.31,195.73,203.95,202.68,139.26,180.75,171.96,174.25,178.65,196.56,188.27,142.19,158.57,172.53,177.69,175.46,191.2,179.03,136.07,168.07,177.95,172.08,195.16,232.82,200.57,148.82,165.71,167.18,158.19,178.27,201.15,177.37,142.7,143.66,171.13,178.39,183.81,199.49,195.6,156.34,169.85,175.59,145.83,156.34,193.37,198.92,142.83,162.4,153.47,170.55,175.21
county,Fairfield County,driving,NA,South Carolina,United States,100,102.08,99.28,112.32,169.78,144.35,124.18,132.11,107.1,98.68,128.67,150.89,139.4,114.24,107.1,100.08,102.98,113.83,143.86,152.06,111.26,109.03,103.82,95.69,105.67,152.74,142.27,132.98,107.25,110.77,114.58,135.66,182.17,169.17,133.25,134.61,106.35,115.15,125.27,170.23,176.54,136.04,111.11,110.92,113.3,131.55,183.08,185.34,157.5,117.76,115.19,119.15,138.08,210.5,238.57,162.9,135.06,127.54,137.06,151.08,183.76,182.7,147.45,116.77,113.64,114.73,115.22,133.09,124.78,82.51,79.3,75.41,87.42,96.49,105.82,102.12,93.84,81.38,74.61,79.49,89.04,96.71,94.11,76.73,80.81,76.73,70.27,79.49,94.14,90.06,57.95,92.52,82.36,84.81,94.98,109.14,110.84,68.87,85.23,95.09,95.05,87.91,129.51,131.85,100.49,101.74,104.65,94.48,106.91,131.39,155.16,128.94,113.3,110.58,115.98,120.25,150.93,176.31,133.89,NA,NA,132.6,137.51,175.86,210.5,155.08,132.38,113.15,120.29,144.01,193.65,212.28,152.1,177.07,145.26,132.98,153.91,164.45,197.81,159.35,153.53,141.67,149.64,166.83,203.25,249.49,189.46,147.94,144.5,149.34,158.82,209.41,225.99,187.57,159.77,139.71,156.93,168.61,217.57,270.68,206.99,164.68,186.63,157.84,168.64,215.87,264.49,217.94,167.28,176.43,158.59,204.46,239.63,227.65,219.42,164.45,138.01,151,181.26,209.33,263.13,197.51,165.43,144.69,149.19,182.4,214.24,262.15,195.24,148.28,149.49,155.95,169.32,238.01,275.44,207.56,161.81,156.86,153.91,174.61,215.72,263.73,181.6,158.18,154.02,146.69,185.12,208.88,271.78,206.31,160.33,154.85,162.64,170.76,220.06,235.51,196.15,160.11,143.03,141.97,169.7,199.55,226.22,175.97,135.55,143.56,143.6,157.35,211.37,210.92,170.76,138.27,136.08,136.23,168.42,253.42,252.25,194.45,217.64,160.97,132.94,154.02,205.29,233.59,163.66,139.97,142.73,145.75,134.45,194.52,201.44,173.86,132,137.93,134.79,158.82
county,Florence County,driving,NA,South Carolina,United States,100,98.74,107.77,111.78,131.31,116.25,83.31,108.2,96.93,99.04,108.59,121.7,116.6,80.76,96.65,101.01,99.18,111.05,133.48,133.35,87.39,100.4,98.11,101.39,97.65,126.39,120.23,90.34,104.43,107.69,109.16,123.73,159.19,136.08,97.58,113.53,106.04,105.51,109.52,142.12,138.32,91.66,102.18,108.75,116.54,125.46,164.32,161.7,110.06,115.09,113.56,117.1,121.2,165.83,159.26,111.65,121.05,121.12,124.27,132.66,161.4,153.7,110.83,112.46,101.84,106.53,103.33,117.21,100.15,69.05,76.82,76.41,80.91,80.71,90.69,83.48,59.93,76.7,73.78,73.69,76.08,84.04,72.91,56.32,74.39,69.31,70.16,74.5,80.04,73.76,43.59,69.8,76.26,84.26,86.64,95.69,84.99,59.79,85.21,88.32,90.89,89.73,103.66,93.76,70.16,93.63,97.1,96.23,102.05,128.53,115.11,86.32,108.19,105.86,108.55,117.94,135.07,133.82,89.04,NA,NA,123.98,138.43,155.78,142.15,115.25,134.53,134.06,129.87,144.44,184.52,160.1,117.78,130.8,147.57,137.78,153.28,171.65,172.43,127.5,151.53,148.48,154.51,157.19,180.1,182.13,135.28,151.35,147.83,149.9,160.03,192.88,199.53,144.02,152.45,145.26,151.11,164.11,193.5,210.71,141.4,164.09,154.3,156.91,167.4,194.21,206.61,147.18,161.05,156.64,163.87,186.41,194.62,151.86,148.9,157.1,147.59,149.49,163.84,192.51,200.96,136.28,156.58,156.79,164.82,164.36,185.21,197.26,138.44,154.16,157.57,160.92,175.35,196.52,195.12,138.77,164.44,160.32,161.05,167.95,190.53,182.3,140.23,143.18,154.48,149.8,167.4,191.93,194.05,141.86,160.23,159.48,156.47,171.05,193.82,183.63,144.44,161.91,155.19,158.57,169,190.72,177.45,137.31,151.13,148.37,153.53,157.85,182.8,168.55,134.16,147.71,154.61,155.77,173.11,217.36,183.17,141.97,151.95,154.29,151.2,162.46,187.27,166.95,129.93,148.02,149.3,150,150.32,193.87,182.99,131.1,144.9,140.5,143.57,158.68
county,Georgetown County,driving,NA,South Carolina,United States,100,101.11,110.55,112.84,125.86,113.43,90.76,109.7,119.08,101.63,106.87,121.71,109.7,80.54,93.73,108.13,107.39,114.43,107.2,105.73,77.45,102.35,109.12,108.75,104.57,122.35,106.86,90.05,103.25,108.07,112.15,116.67,162.22,138.19,106.21,132.91,113.83,112.84,108.11,139.95,142.12,103.62,109.25,109.96,120.91,134.29,151.54,141.13,103.71,120.87,120.34,116.27,122.27,168.68,154.24,119.69,129.52,137.95,131.92,145.34,165.37,154.46,104.35,118,106.09,107.3,111.53,118.45,95.11,63.45,78.76,76.77,80.17,83.37,95.23,85.01,62.34,80.3,73.57,73.5,70.81,80.11,68.15,49.59,75.26,73.07,77.58,76.94,80.64,62.96,42.76,72.14,82.63,80.71,90.35,98.85,82.91,61.4,79.52,92.7,101.34,88.63,106.04,96.38,83.33,100.74,102.93,105.34,98.18,136.58,121.52,111.45,126.04,126.49,129.52,145.98,149.81,149.13,112.67,NA,NA,154.89,169.7,205.47,214.23,163.92,175.51,172.98,176.29,175.82,237.35,245.15,206.8,206.55,207.51,169.91,185.68,203.02,206.49,167.79,192.76,206.74,202.96,225.92,246.51,271.25,209.73,215.02,220.46,228.02,235.03,263.46,292.74,207.85,218.71,208.19,231.94,239.11,270.14,293.36,205.76,217.84,229.53,237.17,238.21,263.76,287.91,201.8,231.41,219.3,230.98,261.93,288.28,274.03,241.41,229.62,211.14,214.9,222.52,262.98,272.79,198.51,217.99,213.11,225.26,231.88,263.12,286.57,202.39,217.71,226.06,221.76,235.91,275.92,274.11,208.08,225.7,222.95,224.84,227.65,250.52,256.9,186.51,147.32,193.5,211.4,218.45,245.54,252.26,187.64,202.35,204.89,205.31,218.84,238.44,227.12,162.21,178.04,184.38,180.2,202.17,219.86,215.31,155.91,179.83,167.23,179.06,196.32,208.85,199.67,160.33,176.72,182.15,180.18,201.33,256.16,256.33,213.36,199.41,177.83,170.88,187.39,214.37,211.35,161.5,177.19,180.3,168.24,168.46,202.45,203.52,150.81,168.25,173.35,177.19,179.59
county,Greenville County,driving,NA,South Carolina,United States,100,102.74,105.26,112.08,128.69,115.39,87.01,108.49,104.84,109.25,110.86,117.72,126.87,82.61,99.77,106.65,105.36,112.69,120.89,126.65,83.96,104.1,106.17,106.08,99.91,127.41,103.19,86.44,109.18,109.92,113.49,121.91,151.84,138.98,93.2,114.14,110.44,111.56,102.38,140.72,142.63,95.07,104.75,114.24,119.07,131.84,148.26,152.64,96.21,110.76,112.19,116.55,119.51,146.98,144.9,104.17,116.53,118.69,120.08,120.34,132.52,125.11,79.57,91.3,87.69,81.48,82.04,91.62,78.65,50.88,63.51,65.03,72.13,73.77,82.99,72.2,53.22,70.61,67.52,71.56,71.19,79.42,67.14,50.71,69.72,67.42,66.35,72.67,77.03,65.38,35.54,73.51,78.58,83.32,83.54,91.8,82.95,56.08,79.98,86.07,87.86,76.92,100.97,85.4,70.46,91.29,93.9,90.13,99.93,111.95,101.68,79.09,101.72,102.22,109.57,112.74,116.83,117.43,80.32,NA,NA,116.37,122.5,139.89,129.8,97.95,111.81,118.87,117.75,130.89,147.7,137.05,98.59,101.22,129.89,130.12,136.73,152.72,148.3,108.94,138.01,139.21,143.79,146.63,159.19,147.99,110.4,140.16,144.98,137.19,148.45,163.64,153.51,111.91,140.16,139.29,143.15,149.32,170.69,155.49,107.37,141.06,142.88,145.34,154.3,166.73,153.16,114.96,142.34,150.09,151.27,160.59,150.65,113.07,105.59,136.33,137.97,148.63,154.05,170.44,157.79,114.55,143.04,151.12,150.84,154.65,171.16,155.05,116.01,144.03,145.56,150.85,156.56,167.15,159.78,122.71,147.77,152.18,150.3,153.53,166.76,158.78,119.16,148.44,162,161.95,163.02,176.45,165.38,123.42,147.34,151.2,158.2,162.26,178.23,172.71,132.45,147.81,151.66,153.05,157.2,166.1,167.97,120.38,139.45,141.99,149.02,152.8,170.05,162.79,117.13,138.94,147.23,148.52,156.19,177.15,164.48,128.72,121.15,146.49,145.72,151.74,175.71,159.96,116.67,143.54,147.14,146.6,133.56,174.3,168.74,119.55,135.91,144.59,143.21,143.78
county,Greenville County,walking,NA,South Carolina,United States,100,114.26,111.75,110.93,141.92,164.58,118.41,119.05,105.97,108.21,105.92,128.59,186.36,94.85,98.27,102.2,106.28,109.82,126.79,187.96,93.19,102.37,105.21,105.34,87.05,146.95,147.37,98.14,102.26,115.52,112.06,127.59,212.15,234.95,121.11,124.75,109.16,111.38,98.69,174.32,243.49,109.49,98,117.92,124.15,155.49,177.53,252.61,114.15,107.98,116.74,123.09,128.7,180.93,228.7,129.19,119.56,121.82,127.59,128.3,161.28,191.73,90.09,96.1,89.11,81.55,77.09,95.94,94.99,46.02,58.28,57.17,71.63,76.31,80.06,82.12,56.66,69.68,63.21,72.5,69.82,76.29,68.64,53.27,72.65,65.78,70.04,70.68,74.87,71.46,35.91,73.1,78.95,83.26,79.33,87.8,85.92,50.96,77.05,79.84,82.97,65.74,93.46,83.65,71.88,95.72,89.51,79.66,96.36,106.19,107.78,77.13,97.67,96.36,109.14,107.85,110.51,134.31,93.55,113.91,84.14,135.22,132.8,167.73,164.07,120.45,124.91,129.67,131.56,158.02,182.37,202.46,125.53,118.07,153.12,155.93,155.76,192.7,232.45,150.06,163.32,159.06,165.25,171.12,196.27,205.3,123.64,152.69,166.07,166.62,171.3,212.73,229.5,131.2,151.47,148.61,167.93,174.25,219.52,219.27,131.12,158.31,167.29,173.19,182.81,217.81,219.56,137.9,160.43,170.3,169.66,182.66,190.11,147.57,120.63,154.29,154.31,174.36,174.98,214.93,211.62,131.71,166.84,176.31,165.54,177.78,207.1,212.04,132.34,155.89,151.65,167.49,182.97,204.04,225.88,152.34,172.68,176.58,175.05,185.1,214.19,221.14,149.72,174.45,194.1,194.5,201.53,228.25,247.19,152.14,167.49,182.95,189,201.11,243.18,260.12,173.03,181.35,180.77,176.65,190.06,212.24,268.24,150.54,151.65,166.6,175.54,177.8,223.02,250.5,145.53,156.97,172.97,169.08,182.01,222.93,279.69,196.7,147.79,171.01,157.44,169.17,241.74,232.25,144.02,159.02,170.66,170.53,157.66,232,258.37,158.35,163.69,164.52,174.96,160.88
county,Greenwood County,driving,NA,South Carolina,United States,100,103.84,105.49,111.76,125.14,107.48,85.8,99.64,103.93,107.88,115.31,121.87,118.86,73.66,100.26,107.6,101.85,116.39,121.75,116.13,77.59,104.42,108.04,105.95,92.96,126.05,109.18,91.21,110.42,111.06,111.71,120.18,145.66,122.31,84.14,110.06,106.78,105.78,116.04,138.21,145.49,91.06,102.35,115.89,117.42,127.95,138.86,133.95,89.68,109.21,106.19,107.1,112.69,139.62,133.51,89.94,118.32,115.63,121.97,120.64,137.41,119.15,80.64,95.69,94.55,86.49,89.14,98.48,84.58,59.21,76.66,72.15,80.23,81.38,92.94,90.23,60.65,81.68,74.95,76.65,79.71,91.06,78.35,58.82,75.08,76.43,77.77,85.68,87.1,75.68,44.84,76.86,83.47,94.4,94.4,107.59,96.45,65.08,91.47,95.37,95.27,94.9,113.03,110.18,76.37,104.78,105.58,96.27,109.61,120.05,122.19,93.1,106.01,110.64,115.19,118.73,126.93,126.25,85.96,NA,NA,120.93,132.44,152.34,143.72,100.55,120.42,124.34,121.03,138.91,160.38,146.22,110.73,107.41,138.24,136.92,143.31,154.46,149.68,107.18,139.35,131.93,134.01,147,162.73,156.75,120.96,132.41,139.8,138.56,145.33,159.27,155.04,116.62,138.42,143.57,138.29,155.51,169.68,177.37,116.24,145.39,148.38,150.05,162.96,176.05,165.69,124.13,153.66,152.9,163.92,162.73,176.66,140.7,121.71,148.97,138.65,148.15,162.61,171.58,169.65,118.44,150.39,152.84,158.83,155.33,178.29,173.99,120.42,152.25,158.8,156.49,163.79,170.99,164.22,120.76,148.25,152.17,152.31,159.71,170.85,168.82,111.4,158.68,170.12,159.94,176.4,184.02,167.85,134.72,165.45,174.51,180.93,193.76,212.58,208.69,156.4,171.44,179.44,161.7,183.84,193.07,190.59,138.27,155.25,148.62,164.84,169.41,200.06,185.66,130.02,154.48,159.65,165.13,181.67,202.61,185.33,146.36,127.36,155.42,159.79,170.9,201.12,191.06,137.44,152.61,152.37,152.56,139.64,188.98,177.56,126.78,137.65,138.1,143.43,153.29
county,Hampton County,driving,NA,South Carolina,United States,100,97.37,106.95,126.33,158.61,125.79,100.88,127.48,103.38,117.89,105.67,131.13,121.07,99.8,91.09,107.77,103.24,112.96,153.27,124.17,101.55,120.05,99.05,114.99,111.28,142.81,123.23,117.22,114.52,110.87,108.71,134.57,170.43,157.6,140.72,135.99,110.6,109.93,116.81,160.03,140.18,126.2,100.74,104.73,126.2,135.25,188.79,183.93,149.36,123.84,121.94,132.28,154.49,214.79,200.54,172.38,149.83,125.86,149.7,169.07,228.63,249.7,198.11,163.4,152.46,147.87,153.14,164.28,143.21,95.14,92.37,89.06,100.54,101.82,104.93,106.62,83.19,84.88,99.39,87.17,95.61,93.25,77.65,73.67,78.06,72.52,89.94,76.03,87.37,79.41,48.21,121.54,109.72,101.69,104.66,112.22,119.85,56.18,84.94,101.76,85.01,81.3,109.79,104.86,88.18,94.87,102.57,107.7,109.45,133.02,127.41,107.97,106.55,101.15,113.17,119.65,148.68,162.05,116.34,NA,NA,131.2,168.47,164.15,164.55,140.31,125.32,130.32,130.72,173.94,225.66,205.06,151.25,166.58,150.37,142.74,162.19,182.78,202.23,170.49,157.26,146.79,152.13,174.95,204.66,264.48,178.06,167.66,203.38,145.64,162.59,213.57,275.08,178.8,161.38,223.36,161.92,235.52,231.13,293.65,197.97,194.94,166.04,170.76,178.39,234.5,281.03,208.64,172.18,174.75,214.18,240.65,225.93,182.44,234.17,179.74,149.7,147.33,178.6,202.97,313.71,187.37,159.69,153.88,159.08,191.76,213.44,276.84,181.03,160.84,158.61,159.01,176.77,229.51,283.59,201.01,157.12,155.77,169.62,179.07,213.1,287.1,176.7,150.57,154.02,158.74,220.26,209.45,259.55,194.46,169.89,159.69,167.05,187.37,216.81,254.49,193.92,147.47,150.78,150.64,162.05,194.67,189.6,153.21,137.95,137.61,140.51,136.87,193.72,176.7,139.16,145.1,136.93,172.32,192.71,268.2,192.17,143.82,205.54,152.46,147.81,159.08,187.37,215.67,178.6,134.5,144.83,141.32,156.58,199.8,181.57,168.6,140.58,128.22,150.44,159.89
county,Horry County,driving,NA,South Carolina,United States,100,100.92,104.89,110.12,151.9,177.5,134.2,126.34,100.51,102.55,104.04,129.2,139.17,95.99,99.67,102.87,103.46,107.53,126.46,144.71,97.72,102.13,106.51,106.65,105.02,133.34,150.62,115.99,110.76,112.15,111.92,126.25,190.3,215.09,151.81,137.28,120.12,119.8,120.06,159.4,177.47,122.53,114.58,117.48,124.55,136.49,179.43,202.96,144.82,136.73,136.37,139.59,143.73,201.15,238.2,173.2,167.95,166.88,163.85,171.79,213.32,221.76,146,129.44,117.38,109.38,110.8,116.84,94.92,64.15,73.96,67.94,74.87,78.11,88.85,78.39,59.51,68.35,64.05,63.82,64.15,69.54,57.62,44.84,65.4,63.42,62.92,65.02,70.46,57.41,36.91,60.8,69.5,69.33,76,84.71,71.01,52.82,72.37,81.86,82.06,79.22,92.77,88.61,71.46,90.3,91.59,93.31,90.86,126.7,139.48,128.1,133.73,124.65,129.97,141.11,166.62,180.07,131.43,NA,NA,162.96,184.03,258.95,354.42,282.32,221.96,203.23,199.3,212.62,313.53,422.77,387.45,319.99,254.79,219.39,227.61,270.03,324.38,267.97,266.68,267.72,284.37,304.97,370.13,457.86,365.05,317.54,309.65,304.08,342.7,430.61,550.81,393.28,329.49,311.58,303.72,330.17,394.62,459.4,333.93,321.46,308.45,309.9,336.96,368.82,417.96,315.57,288.77,279.15,289.85,323.76,389.97,389.8,333.68,295.43,277.62,259.49,274.89,321.88,371.41,279.38,272.86,271.97,282.55,295.33,348.29,406.38,300.62,277.62,272.2,283.41,301.41,363.09,426.9,314.79,286.36,279.81,285.19,300.57,332.45,387.83,278.53,209.85,229.26,249.09,270.26,311.58,368.46,281.42,258.94,251.01,259.05,279.78,333.44,366.69,273.15,237.91,226.74,226.98,236.61,298.82,343.39,256.08,216.35,206.23,212.1,226.44,289.13,329.14,248.55,210.2,208.01,209.14,233.18,345.38,441.84,385.84,326.74,222.6,205.54,220.89,280.37,316.07,235.84,208.19,199.98,202.95,206.53,275.17,330.6,236.19,202.65,191.28,194.86,213.27
